ID,CALL,CN,TYPE
OGNE0DC7A,,JM,ASW-19b
FLRDD9E31,,EI,Discus
FLRDDFD36,,E1,LS-4
FLRDDC15A,,1G,ASW-19
FLRDD86AA,,H1,DG-303
FLRDDA756,,999,DG-100
FLRDDB004,,TA,LS-1f
FLRDD979B,,1R,LS-4
FLRDD9AEA,,FR,StdLibelle
FLRDDA3BD,,T,LS-4
FLRDD85FF,,T1,LS-4
FLRDF08B2,,XN,LS-1d
OGNC9EE5F,,LC,LS-4
OGNC8E459,,WJ,LS-4WL
FLRDDFE29,,IGP,LS-4
OGNEBC855,,SW,StdLibelle
FLRDDECF2,,ZG,LS-4b
FLRDD82F6,,SQ,Mosquito
FLRDF0869,,1,LS-1fneo
FLRDD85BD,,MI,LS-4
OGNCEC858,,P9,LS-4WL
FLRDD8E27,,MS,LS-1d
FLRDD9A95,,33,Libelle
